x,y
784428,6886937
784364,6886928
784158,6886971
784269,6886915
784451,6886821
784074,6886726
784035,6886946
783999,6887008
784078,6886922
784330,6886903
784010,6887001
784093,6886787
784362,6886879
784448,6886853
784381,6886965
784416,6886948
784263,6886932
784213,6886982
784206,6887018
784438,6886896
784324,6886860
784394,6887026
784178,6886998
784290,6887014
783501,6886807
783565,6887040
783571,6887015
783478,6886802
783645,6886935
783621,6886967
783690,6886908
783830,6887059
783506,6886948
783894,6887041
783552,6886911
784103,6887017
784353,6887040
783707,6886719
783722,6887078
783549,6886769
783600,6886747
783598,6886775
783645,6886710
783883,6887028
783830,6886931
783547,6887008
783691,6886736
783773,6886712
783649,6886961
783581,6887035
783619,6886951
783521,6886797
783515,6886879
783455,6886811
783659,6886905
783639,6887050
783609,6887018
783600,6887051
783582,6886944
783646,6886758
783608,6886998
783629,6886987
783523,6887001
783666,6886732
783561,6886994
783556,6886800
783577,6886784
783847,6887040
783624,6886918
783575,6886758
783632,6887007
783522,6886896
783476,6886825
783627,6886735
783623,6886764
783525,6886743
783635,6886964
783659,6886953
783594,6886977
783678,6886721
783740,6886677
788927,6885917
788927,6885904
788355,6885809
788409,6885896
788009,6885690
788341,6885836
788372,6885872
788069,6885679
788147,6885907
788422,6885865
788287,6885705
788265,6885809
788291,6885842
788179,6885930
788335,6885933
788332,6885885
788447,6885876
788287,6885691
788192,6885786
788013,6885620
788283,6885857
788353,6885898
787996,6885813
788061,6885815
787964,6885858
788264,6885841
788597,6885889
788618,6885871
788012,6885766
788163,6885798
787764,6885936
787890,6885793
787975,6885707
787975,6885826
787791,6885986
781281,6886247
781723,6886147
784362,6885460
782547,6885380
787218,6884894
787223,6884882
786526,6883778
786382,6883775
786579,6883957
786523,6883858
786565,6883884
786431,6883774
786497,6883809
786533,6883830
786562,6883854
786542,6883844
786558,6883923
782232,6883925
785889,6883796
781642,6883816
781669,6883881
781879,6883937
781770,6883929
781438,6883994
781987,6883817
781791,6883876
781667,6883936
781908,6883976
781962,6884211
782235,6884100
782083,6884063
782127,6884140
782112,6884007
781830,6883925
781573,6883915
781592,6883925
781474,6883919
781425,6884016
781471,6883895
781445,6884083
781538,6883933
781703,6884047
781788,6883912
781690,6884092
781809,6884103
782118,6883955
782022,6883828
781416,6883946
781421,6883924
781701,6883821
781891,6883900
781723,6883970
781706,6883919
781740,6883940
782033,6883810
781508,6883919
781497,6883936
781497,6883972
781590,6884016
781457,6883935
781667,6884014
781893,6883865
782017,6883997
781846,6883974
781974,6883839
781972,6883964
782062,6883946
781835,6884014
781961,6883948
781853,6883956
781823,6884053
782046,6884064
782141,6884000
782070,6883991
781469,6883814
781515,6883825
781692,6883998
781954,6883865
781419,6883876
781454,6884112
781555,6884002
